user_genome	classification	fastani_reference	fastani_reference_radius	fastani_taxonomy	fastani_ani	fastani_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
bin.142	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Micavibrionales;f__Micavibrionaceae;g__;s__	N/A	N/A	N/A	N/A	N/A	GCA_009929775.1	95.0	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Micavibrionales;f__Micavibrionaceae;g__RZZS01;s__RZZS01 sp009929775	74.84	0.01	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Micavibrionales;f__Micavibrionaceae;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	95.57	11	0.848699197322625	N/A
bin.143	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Cyclobacteriaceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Cyclobacteriaceae;g__;s__	taxonomic novelty determined using RED	N/A	N/A	97.06	11	0.8375289593627575	N/A
bin.144	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__DT-110;s__	N/A	N/A	N/A	N/A	N/A	GCA_013214265.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__DT-110;s__DT-110 sp013214265	76.35	0.01	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	95.29	11	0.866241137685689	N/A
bin.145	d__Bacteria;p__Acidobacteriota;c__UBA6911;o__RPQK01;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	GCA_003819755.1	95.0	d__Bacteria;p__Acidobacteriota;c__UBA6911;o__RPQK01;f__RPQK01;g__RPQK01;s__RPQK01 sp003819755	74.78	0.01	d__Bacteria;p__Acidobacteriota;c__UBA6911;o__;f__;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	90.75	11	0.6878905046707807	N/A
bin.146	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA12077;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__;g__;s__	taxonomic novelty determined using RED	N/A	N/A	92.79	11	0.8042236140853549	N/A
bin.147	d__Bacteria;p__Bacteroidota;c__Rhodothermia;o__Rhodothermales;f__Salinibacteraceae;g__Salinibacter;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacteroidota;c__Rhodothermia;o__Rhodothermales;f__Salinibacteraceae;g__;s__	taxonomic novelty determined using RED	N/A	N/A	90.63	11	0.9509143735392509	N/A
bin.148	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Arcobacteraceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Arcobacteraceae;g__;s__	taxonomic classification fully defined by topology	N/A	N/A	92.42	11	0.8996104958968941	N/A
bin.149	d__Bacteria;p__Bipolaricaulota;c__Bipolaricaulia;o__RBG-16-55-9;f__RBG-16-55-9;g__;s__	N/A	N/A	N/A	N/A	N/A	GCA_001778455.1	95.0	d__Bacteria;p__Bipolaricaulota;c__Bipolaricaulia;o__RBG-16-55-9;f__RBG-16-55-9;g__RBG-16-55-9;s__RBG-16-55-9 sp001778455	75.5	0.05	d__Bacteria;p__Bipolaricaulota;c__Bipolaricaulia;o__RBG-16-55-9;f__;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	81.85	11	0.7912472636978615	N/A
bin.15	d__Bacteria;p__Verrucomicrobiota;c__Lentisphaeria;o__UBA1407;f__MVZH01;g__;s__	N/A	N/A	N/A	N/A	N/A	GCA_002068325.1	95.0	d__Bacteria;p__Verrucomicrobiota;c__Lentisphaeria;o__UBA1407;f__MVZH01;g__MVZH01;s__MVZH01 sp002068325	75.19	0.04	d__Bacteria;p__Verrucomicrobiota;c__Lentisphaeria;o__UBA1407;f__;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	86.04	11	0.730352215911204	N/A
bin.150	d__Bacteria;p__Cloacimonadota;c__Cloacimonadia;o__Cloacimonadales;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	GCA_002742885.1	95.0	d__Bacteria;p__Cloacimonadota;c__Cloacimonadia;o__Cloacimonadales;f__GCA-2742885;g__GCA-2742885;s__GCA-2742885 sp002742885	75.48	0.05	d__Bacteria;p__Cloacimonadota;c__Cloacimonadia;o__Cloacimonadales;f__;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	94.16	11	0.6646418750704639	N/A
bin.151	d__Bacteria;p__Firmicutes_F;c__Halanaerobiia;o__Halanaerobiales;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Firmicutes_F;c__Halanaerobiia;o__Halanaerobiales;f__;g__;s__	taxonomic novelty determined using RED	N/A	N/A	86.9	11	0.6979149878293747	N/A
bin.152	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Alcanivoracaceae;g__SLJS01;s__	N/A	N/A	N/A	N/A	N/A	GCA_007135015.1	95.0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Alcanivoracaceae;g__SLJS01;s__SLJS01 sp007135015	77.67	0.25	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Alcanivoracaceae;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	68.85	11	0.8830322646159235	N/A
bin.153	d__Bacteria;p__Verrucomicrobiota;c__Lentisphaeria;o__;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Verrucomicrobiota;c__Lentisphaeria;o__;f__;g__;s__	taxonomic novelty determined using RED	N/A	N/A	83.78	11	0.5811862387382052	N/A
bin.154	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__UBA11858;g__B10-G9;s__	N/A	N/A	N/A	N/A	N/A	GCA_011039385.1	95.0	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__UBA11858;g__B10-G9;s__B10-G9 sp011039385	76.21	0.09	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__UBA11858;g__B10-G9;s__	taxonomic classification defined by topology and ANI	N/A	GCA_003648195.1, s__B10-G9 sp003648195, 95.0, 75.43, 0.02	92.08	11	0.9306208047209094	N/A
bin.156	d__Bacteria;p__Hydrogenedentota;c__Hydrogenedentia;o__Hydrogenedentiales;f__CAIZGN01;g__;s__	N/A	N/A	N/A	N/A	N/A	GCA_903932505.1	95.0	d__Bacteria;p__Hydrogenedentota;c__Hydrogenedentia;o__Hydrogenedentiales;f__CAIZGN01;g__CAIZGN01;s__CAIZGN01 sp903932505	75.83	0.05	d__Bacteria;p__Hydrogenedentota;c__Hydrogenedentia;o__Hydrogenedentiales;f__CAIZGN01;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	90.13	11	0.7611267346696714	N/A
bin.158	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales;f__Chromatiaceae;g__Thiohalocapsa;s__	N/A	N/A	N/A	N/A	N/A	GCA_009908515.1	95.0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales;f__Chromatiaceae;g__Thiohalocapsa;s__Thiohalocapsa sp009908515	90.59	0.72	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales;f__Chromatiaceae;g__Thiohalocapsa;s__	taxonomic classification defined by topology and ANI	N/A	GCF_001469165.1, s__Thiohalocapsa sp001469165, 95.0, 81.4, 0.61; GCF_008632335.1, s__Thiohalocapsa marina, 95.0, 79.61, 0.38; GCA_003525925.1, s__Thiohalocapsa sp003525925, 95.0, 77.14, 0.15	86.64	11	0.9862847391070041	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
bin.159	d__Bacteria;p__Zixibacteria;c__MSB-5A5;o__GN15;f__FEB-12;g__;s__	N/A	N/A	N/A	N/A	N/A	GCA_003105265.1	95.0	d__Bacteria;p__Zixibacteria;c__MSB-5A5;o__GN15;f__FEB-12;g__FEB-12;s__FEB-12 sp003105265	76.19	0.07	d__Bacteria;p__Zixibacteria;c__MSB-5A5;o__GN15;f__FEB-12;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	68.35	11	0.7910530353672696	N/A
bin.16	d__Bacteria;p__Sumerlaeota;c__Sumerlaeia;o__MVZB01;f__MVZB01;g__;s__	N/A	N/A	N/A	N/A	N/A	GCA_002068205.1	95.0	d__Bacteria;p__Sumerlaeota;c__Sumerlaeia;o__MVZB01;f__MVZB01;g__MVZB01;s__MVZB01 sp002068205	76.18	0.07	d__Bacteria;p__Sumerlaeota;c__Sumerlaeia;o__;f__;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	87.91	11	0.763725958424195	N/A
bin.160	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__J057;f__J057;g__;s__	N/A	N/A	N/A	N/A	N/A	GCA_003696835.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__J057;f__J057;g__J057;s__J057 sp003696835	75.97	0.06	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__J057;f__J057;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	94.22	11	0.8385363103376589	N/A
bin.161	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Thiomicrospirales;f__Thiomicrospiraceae;g__Hydrogenovibrio;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Thiomicrospirales;f__Thiomicrospiraceae;g__Hydrogenovibrio;s__	ANI	N/A	GCF_000384235.1, s__Hydrogenovibrio halophilus, 95.0, 82.82, 0.42; GCF_001507535.1, s__Hydrogenovibrio sp001507535, 95.0, 80.62, 0.38; GCF_000526715.1, s__Hydrogenovibrio kuenenii, 95.0, 77.35, 0.04; GCF_001507555.1, s__Hydrogenovibrio sp001507555, 95.0, 77.04, 0.12; GCF_000012605.1, s__Hydrogenovibrio crunogenus_A, 95.0, 76.87, 0.07; GCF_004028275.1, s__Hydrogenovibrio thermophilus, 95.0, 76.86, 0.13; GCF_000744875.1, s__Hydrogenovibrio sp000744875, 95.0, 76.77, 0.06; GCF_013340845.1, s__Hydrogenovibrio marinus, 95.0, 76.67, 0.04; GCF_002848135.1, s__Hydrogenovibrio sp002848135, 95.0, 76.65, 0.07; GCF_004786015.1, s__Hydrogenovibrio crunogenus_B, 95.0, 76.52, 0.08; GCF_009296185.1, s__Hydrogenovibrio sp009296185, 95.0, 76.38, 0.05; GCA_002779995.1, s__Hydrogenovibrio sp002779995, 95.0, 76.35, 0.07; GCA_002299585.1, s__Hydrogenovibrio sp002299585, 95.0, 75.53, 0.02	96.51	11	0.9680374745123068	N/A
bin.162	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__4484-276;g__SABY01;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__4484-276;g__;s__	taxonomic novelty determined using RED	N/A	N/A	58.49	11	0.8916850703769478	N/A
bin.163	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__ML635J-15;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__;g__;s__	taxonomic novelty determined using RED	N/A	N/A	57.99	11	0.8180060333852543	N/A
bin.164	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__;g__;s__	taxonomic novelty determined using RED	N/A	N/A	77.88	11	0.702854355472412	N/A
bin.165	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__UBA5794;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__UBA5794;f__;g__;s__	taxonomic novelty determined using RED	N/A	N/A	77.43	11	0.6960677865628377	N/A
bin.166	d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Phycisphaerales;f__SM1A02;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Phycisphaerales;f__SM1A02;g__;s__	taxonomic novelty determined using RED	N/A	N/A	66.75	11	0.8269906708519179	N/A
bin.169	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__Verruco-01;g__CK1056;s__	N/A	N/A	N/A	N/A	N/A	GCF_010500615.1	95.0	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__Verruco-01;g__CK1056;s__CK1056 sp010500615	76.66	0.13	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__Verruco-01;g__CK1056;s__	taxonomic classification defined by topology and ANI	N/A	GCA_009908535.1, s__CK1056 sp009908535, 95.0, 76.92, 0.2	84.69	11	0.9339955587542152	N/A
bin.17	d__Bacteria;p__Krumholzibacteriota;c__Krumholzibacteria;o__Krumholzibacteriales;f__Krumholzibacteriaceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Krumholzibacteriota;c__Krumholzibacteria;o__Krumholzibacteriales;f__Krumholzibacteriaceae;g__;s__	taxonomic novelty determined using RED	N/A	N/A	61.66	11	0.7734727497360783	N/A
bin.171	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Ectothiorhodospirales;f__Ectothiorhodospiraceae;g__Ectothiorhodospira;s__	N/A	N/A	N/A	N/A	N/A	GCF_900114895.1	95.0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Ectothiorhodospirales;f__Ectothiorhodospiraceae;g__Ectothiorhodospira;s__Ectothiorhodospira mobilis	93.95	0.9	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Ectothiorhodospirales;f__Ectothiorhodospiraceae;g__Ectothiorhodospira;s__	taxonomic classification defined by topology and ANI	N/A	GCF_001632845.1, s__Ectothiorhodospira sp001632845, 95.0, 80.6, 0.61; GCF_000225005.1, s__Ectothiorhodospira sp000225005, 95.0, 80.5, 0.52; GCF_000633935.1, s__Ectothiorhodospira haloalkaliphila, 95.0, 80.35, 0.61; GCF_900109495.1, s__Ectothiorhodospira marina, 95.0, 80.09, 0.59; GCF_900110965.1, s__Ectothiorhodospira magna, 95.0, 79.67, 0.42	98.65	11	0.9854412324470956	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
bin.172	d__Bacteria;p__UBP15;c__UBA6099;o__UBA6099;f__UBA6099;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__UBP15;c__UBA6099;o__UBA6099;f__;g__;s__	taxonomic novelty determined using RED	N/A	N/A	89.68	11	0.7276544532891603	N/A
bin.173	d__Bacteria;p__Verrucomicrobiota;c__Lentisphaeria;o__UBA1407;f__PUNB01;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Verrucomicrobiota;c__Lentisphaeria;o__UBA1407;f__;g__;s__	taxonomic novelty determined using RED	N/A	N/A	81.34	11	0.7118332788649421	N/A
bin.174	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__GIF9;f__AB-539-J10;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__GIF9;f__AB-539-J10;g__;s__	taxonomic novelty determined using RED	N/A	N/A	73.73	11	0.899931243697479	N/A
bin.176	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Thiohalorhabdales;f__Thiohalorhabdaceae;g__;s__	N/A	N/A	N/A	N/A	N/A	GCF_001399755.1	95.0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Thiohalorhabdales;f__Thiohalorhabdaceae;g__Thiohalorhabdus;s__Thiohalorhabdus denitrificans	81.06	0.52	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__;f__;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	81.66	11	0.8440125385607574	N/A
bin.177	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__CAILMK01;f__JAAYUY01;g__;s__	N/A	N/A	N/A	N/A	N/A	GCA_012517435.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__CAILMK01;f__JAAYUY01;g__JAAYUY01;s__JAAYUY01 sp012517435	76.7	0.01	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__CAILMK01;f__;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	95.1	11	0.7345638150574559	N/A
bin.178	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Ectothiorhodospirales;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Ectothiorhodospirales;f__;g__;s__	taxonomic classification fully defined by topology	N/A	N/A	61.17	11	0.701963709393172	N/A
bin.179	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Geitlerinemaceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__;g__;s__	taxonomic novelty determined using RED	N/A	N/A	66.81	11	0.7891041631865399	N/A
bin.18	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Micavibrionales;f__Micavibrionaceae;g__;s__	N/A	N/A	N/A	N/A	N/A	GCA_009929775.1	95.0	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Micavibrionales;f__Micavibrionaceae;g__RZZS01;s__RZZS01 sp009929775	74.87	0.02	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Micavibrionales;f__Micavibrionaceae;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	95.47	11	0.8486654058115397	N/A
bin.180	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__;s__	N/A	N/A	N/A	N/A	N/A	GCA_012031785.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__JAAUTG01;s__JAAUTG01 sp012031785	76.83	0.01	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	68.31	11	0.8397117998936304	N/A
bin.181	d__Bacteria;p__Bacteroidota;c__Rhodothermia;o__Rhodothermales;f__Salinibacteraceae;g__JAAAPH01;s__	N/A	N/A	N/A	N/A	N/A	GCA_009908415.1	95.0	d__Bacteria;p__Bacteroidota;c__Rhodothermia;o__Rhodothermales;f__Salinibacteraceae;g__JAAAPH01;s__JAAAPH01 sp009908415	81.47	0.48	d__Bacteria;p__Bacteroidota;c__Rhodothermia;o__Rhodothermales;f__Salinibacteraceae;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	87.1	11	0.9458405894445681	N/A
bin.182	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Oleiphilaceae;g__Halospina;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Oleiphilaceae;g__Halospina;s__	taxonomic classification defined by topology and ANI	N/A	GCF_900162675.1, s__Halospina utahensis_A, 95.0, 83.83, 0.78; GCF_002286965.1, s__Halospina sp002286965, 95.0, 83.53, 0.79; GCF_009856365.1, s__Halospina utahensis_B, 95.0, 83.18, 0.78; GCF_004364635.1, s__Halospina denitrificans, 95.0, 78.48, 0.43; GCA_007135745.1, s__Halospina sp007135745, 95.0, 76.69, 0.12	55.69	11	0.9798652248252531	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
bin.183	d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfatiglandales;f__Desulfatiglandaceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfatiglandales;f__Desulfatiglandaceae;g__;s__	taxonomic classification fully defined by topology	N/A	N/A	73.2	11	0.8344712467834564	N/A
bin.185	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Rubidibacteraceae;g__Halothece;s__	N/A	N/A	N/A	N/A	N/A	GCF_000317615.1	95.0	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Rubidibacteraceae;g__Halothece;s__Halothece salina	79.83	0.43	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Rubidibacteraceae;g__Halothece;s__	taxonomic classification defined by topology and ANI	N/A	GCF_000317635.1, s__Halothece sp000317635, 95.0, 79.88, 0.5; GCA_009909085.1, s__Halothece sp009909085, 95.0, 78.51, 0.42; GCF_007904085.1, s__Halothece natronophila, 95.0, 77.93, 0.31; GCA_003021905.1, s__Halothece sp003021905, 95.0, 77.2, 0.35	91.32	11	0.9581907290669716	N/A
bin.186	d__Bacteria;p__Myxococcota;c__Polyangia;o__HGW-17;f__SLPX01;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Myxococcota;c__Polyangia;o__HGW-17;f__;g__;s__	taxonomic novelty determined using RED	N/A	N/A	89.5	11	0.8307209331553029	N/A
bin.187	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__Verruco-01;g__CK1056;s__	N/A	N/A	N/A	N/A	N/A	GCA_009908535.1	95.0	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__Verruco-01;g__CK1056;s__CK1056 sp009908535	90.56	0.75	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__Verruco-01;g__CK1056;s__	taxonomic classification defined by topology and ANI	N/A	GCF_010500615.1, s__CK1056 sp010500615, 95.0, 76.61, 0.08	80.74	11	0.993198451902751	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
bin.188	d__Bacteria;p__Acidobacteriota;c__Aminicenantia;o__Aminicenantales;f__Aminicenantaceae;g__WTAW01;s__	N/A	N/A	N/A	N/A	N/A	GCA_013139435.1	95.0	d__Bacteria;p__Acidobacteriota;c__Aminicenantia;o__Aminicenantales;f__Aminicenantaceae;g__WTAW01;s__WTAW01 sp013139435	75.6	0.02	d__Bacteria;p__Acidobacteriota;c__Aminicenantia;o__Aminicenantales;f__Aminicenantaceae;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	75.58	11	0.8770179466864361	N/A
